"","Year","Muni","FOB","TONS"
"401",2016,"Luis Eduardo Magalhaes",409481.201325,15313.74449074
"402",2016,"Cristais",3284990.96555,26768.1675393
"403",2016,"Matozinhos",7220202.48545,41947.67016
"404",2016,"Patos De Mina",6095137.06997,44243.25995
"405",2016,"Boa Esperanca",192312.817148,3689.172585843
"406",2016,"Paracatu",11572129.1751964,44643.0707579
"407",2016,"Claudio",4919815.99997,65337.904
"408",2016,"Bom Jesus De Goias",10774044.98785,251541.06500002
"409",2016,"Rio Verde",5386627.9953,42079.4488738
"410",2016,"Agua Boa",8875110.851283,45998.27012661
"411",2016,"Novo Sao Joaquim",5303139.858954,58952.70217353
"412",2016,"Campinapolis",2861830.415263,13588.10982627
"413",2016,"Ribeirao Cascalheira",24256921.8024369,193067.73986878
"414",2016,"Alto Paraguai",9256306.16356,277017.14074914
"415",2016,"Guiratinga",5995242.153028,190835.02555078
"416",2016,"Sapezal",2319196.71465,44603.12364238
"417",2016,"Primavera Do Leste",2612320.4032732,40299.36310973
"418",2016,"Jaciara",3416859.884759,76022.316158236
"419",2016,"Sorriso",6551630.75074,94887.4380558
"420",2016,"Ponta Pora",2505051.056986,13864.902259472
"421",2016,"Paraiso Das Aguas",1680976.23931,36694.9259368
"422",2016,"Brasilia",1005266.7799,9978.1892138
"423",2016,"Alfenas",946705.42799,14164.2273218
"424",2016,"Paraguacu",258670.5771773,4653.3862597
"425",2016,"Capela Nova",19581.8892367,151.50036981
"426",2016,"Caranaiba",17461.6217449,116.918974113
"427",2016,"Carandai",60035.568644,705.3168845
"428",2016,"Ressaquinha",52262.9691,2272.95286801
"429",2016,"Campo Do Meio",131654.341833,1264.01268771
"430",2016,"Coqueiral",84151.594537,1259.04244275
"431",2016,"Santana Da Vargem",86106.247455474,2595.02199058
"432",2016,"Carmo Da Mata",371878.064876,2877.1311946
"433",2016,"Ibituruna",331612.2376,2220.39872237
"434",2016,"Cordislandia",1140130.59847,13394.6155556
"435",2016,"Turvolandia",992521.793,43165.4629493
"436",2016,"Carrancas",2500236.892,24004.7620903
"437",2016,"Lavras",1598116.08395,23910.3725797
"438",2016,"Nepomuceno",1178871.60720003,9007.9630991
"439",2016,"Itumirim",31424.302238,802.317346457
"440",2016,"Itutinga",34365.9624329,151.783465944
"441",2016,"Sao Joao Del Rei",24935.655427,204.185829611
"442",2016,"Conceicao Da Barra De Minas",9543.4634005,38.976764602
"443",2016,"Coronel Xavier Chaves",8426.166889,15.910593364
"444",2016,"Madre De Deus De Minas",1808156.5365353,3697.919132396
"445",2016,"Lagoa Dourada",13183.3263984,31.524721841
"446",2016,"Nazareno",1277216.01474,47736.80063096
"447",2016,"Piedade Do Rio Grande",844899.22424,22530.7713063
"448",2016,"Ritapolis",696338.58314,1838.01983944
"449",2016,"Resende Costa",444446.69909,13197.1287023
"450",2016,"David Canabarro",257963.980615,1912.9072852
"451",2016,"Mato Castelhano",1360130.432308,70409.45201308
"452",2016,"Coronel Bicaco",253487.769605,7563.780662271
"453",2016,"Sao Valerio Do Sul",2322180.214009,85810.76475159
"454",2016,"Palmeira Das Missoes",1735594.0066,14946.2604722
"455",2016,"Carazinho",1545301.32698,42021.2020717
"456",2016,"Sao Jose Das Missoes",451416.001912,7512.00002513
"457",2016,"Sao Pedro Das Missoes",994972.53427,27274.04132043
"458",2016,"Cristal Do Sul",443858.2138678,18530.32911759
"459",2016,"Engenho Velho",355625.202027,8668.72086805
"460",2016,"Frederico Westphalen",114170.087997,2152.216281828
"461",2016,"Taquarucu Do Sul",43512.72034592,2026.16426736
"462",2016,"Trindade Do Sul",229468.214063,6524.69616128
"463",2016,"Santa Barbara Do Sul",944562.046475,25687.65551358
"464",2016,"Alto Alegre",1294972.74172,29803.81884813
"465",2016,"Jacuizinho",146656.188518,9806.428419009
"466",2016,"Quinze De Novembro",1231741.047262,152347.58367245
"467",2016,"Anta Gorda",6478874.46577,46479.482652
"468",2016,"Dois Lajeados",507688.900445074,1661.970519423
"469",2016,"Montauri",186.160799144,4.831292902
"470",2016,"Putinga",5858.82560084,146.779409406
"471",2016,"Uniao Da Serra",78648.760689,3148.051042894
"472",2016,"Entre Rios Do Sul",91356.068439,9789.947296262
"473",2016,"Erebango",399247.916979,2699.94634592
"474",2016,"Floriano Peixoto",70428.429339,2752.499166024
"475",2016,"Bom Retiro Do Sul",105676.0427218,460.208168513
"476",2016,"Forquetinha",60343.5248536,2158.48264165
"477",2016,"Estrela",73839.468309,1246.582120188
